name,metric_tonnes_of_CO2,date_of_information,region,sqrt_CO2,CO2_minus_avg
China,12196000000.0,2023,East and Southeast Asia,110435.50153822819,12024435437.658796
United States,4795000000.0,2023,North America,69245.93850905626,4623435437.658796
India,2821000000.0,2023,South Asia,53113.086899558,2649435437.6587963
Russia,1844000000.0,2023,Central Asia,42941.82110716778,1672435437.6587963
Japan,960230000.0,2023,East and Southeast Asia,30987.578156416163,788665437.6587963
Indonesia,829655000.0,2023,East and Southeast Asia,28803.732397034935,658090437.6587963
Iran,823364000.0,2023,Middle East,28694.319995427668,651799437.6587963
Saudi Arabia,656511000.0,2023,Middle East,25622.47060687162,484946437.6587963
"Korea, South",644231000.0,2023,East and Southeast Asia,25381.706010432,472666437.6587963
Germany,600192000.0,2023,Europe,24498.816297935704,428627437.6587963
Canada,585853000.0,2023,North America,24204.400426368757,414288437.6587963
South Africa,446704000.0,2023,Africa,21135.37319282534,275139437.6587963
Mexico,441049000.0,2023,North America,21001.16663426106,269484437.6587963
Brazil,437769000.0,2023,South America,20922.930005140293,266204437.6587963
Turkey (Turkiye),399173000.0,2023,Middle East,19979.314302548024,227608437.6587963
Australia,394653000.0,2023,Australia and Oceania,19865.87526387901,223088437.6587963
United Kingdom,340940000.0,2023,Europe,18464.560650066927,169375437.6587963
Thailand,336693000.0,2023,East and Southeast Asia,18349.196167679933,165128437.6587963
Italy,307442000.0,2023,Europe,17534.024067509432,135877437.6587963
Vietnam,305404000.0,2023,East and Southeast Asia,17475.81185524724,133839437.65879631
France,303779000.0,2023,Europe,17429.2570122768,132214437.65879631
Taiwan,289109000.0,2023,East and Southeast Asia,17003.205580125177,117544437.65879631
United Arab Emirates,271703000.0,2023,Middle East,16483.415908118073,100138437.65879631
Kazakhstan,269830000.0,2023,Central Asia,16426.502975374886,98265437.65879631
Poland,264031000.0,2023,Europe,16249.030740324175,92466437.65879631
Malaysia,260005000.0,2023,East and Southeast Asia,16124.670539269942,88440437.65879631
Spain,254823000.0,2023,Europe,15963.176375646546,83258437.65879631
Singapore,238962000.0,2023,East and Southeast Asia,15458.395777052676,67397437.65879631
Egypt,236618000.0,2023,Africa,15382.392531722755,65053437.65879631
Pakistan,212655000.0,2023,South Asia,14582.695224134666,41090437.65879631
Argentina,198141000.0,2023,South America,14076.256604651679,26576437.65879631
Iraq,190815000.0,2023,Middle East,13813.580274497992,19250437.65879631
Netherlands,188191000.0,2023,Europe,13718.272485994728,16626437.65879631
Algeria,163661000.0,2023,Africa,12793.005901663611,-7903562.34120369
Philippines,156228000.0,2023,East and Southeast Asia,12499.11996902182,-15336562.34120369
Qatar,127783000.0,2023,Middle East,11304.114295246665,-43781562.34120369
Bangladesh,125956000.0,2023,South Asia,11223.01207341416,-45608562.34120369
Nigeria,114397000.0,2023,Africa,10695.653322728818,-57167562.34120369
Belgium,112083000.0,2023,Europe,10586.925899428974,-59481562.34120369
Uzbekistan,110992000.0,2023,Central Asia,10535.274082813414,-60572562.34120369
Ukraine,106847000.0,2023,Europe,10336.682253024905,-64717562.34120369
Turkmenistan,106215000.0,2023,Central Asia,10306.06617483121,-65349562.34120369
Kuwait,100459000.0,2023,Middle East,10022.923725141281,-71105562.34120369
Colombia,85878000.0,2023,South America,9267.038361850025,-85686562.34120369
Oman,84073000.0,2023,Middle East,9169.133001543822,-87491562.34120369
Chile,83058000.0,2023,South America,9113.616186783378,-88506562.34120369
Czechia,79901000.0,2023,Europe,8938.735928530386,-91663562.34120369
Venezuela,76730000.0,2023,South America,8759.566199304621,-94834562.34120369
Israel,64401000.0,2023,Middle East,8025.023364451969,-107163562.34120369
Morocco,64173000.0,2023,Africa,8010.805202974293,-107391562.34120369
Greece,62060000.0,2023,Europe,7877.816956492452,-109504562.34120369
Romania,61416000.0,2023,Europe,7836.836096282734,-110148562.34120369
Peru,58903000.0,2023,South America,7674.828988322802,-112661562.34120369
Hong Kong,58433000.0,2023,East and Southeast Asia,7644.14808857076,-113131562.34120369
Austria,56959000.0,2023,Europe,7547.118655487006,-114605562.34120369
"Korea, North",55744000.0,2023,East and Southeast Asia,7466.190461004862,-115820562.34120369
Bahrain,47818000.0,2023,Middle East,6915.056037372366,-123746562.34120369
Belarus,46709000.0,2023,Europe,6834.398290998264,-124855562.34120369
Libya,46479000.0,2023,Africa,6817.550879898147,-125085562.34120369
Serbia,44782000.0,2023,Europe,6691.935444996462,-126782562.34120369
Sweden,43960000.0,2023,Europe,6630.233781700311,-127604562.34120369
Hungary,40161000.0,2023,Europe,6337.270705911181,-131403562.34120369
Azerbaijan,38892000.0,2023,Central Asia,6236.345083460344,-132672562.34120369
Norway,38535000.0,2023,Europe,6207.656562665174,-133029562.34120369
Ecuador,38286000.0,2023,South America,6187.568181442529,-133278562.34120369
Portugal,38272000.0,2023,Europe,6186.436777337985,-133292562.34120369
Ireland,35486000.0,2023,Europe,5957.012674151365,-136078562.3412037
Trinidad and Tobago,33629000.0,2023,Central America and the Caribbean,5799.051646605676,-137935562.3412037
Finland,33594000.0,2023,Europe,5796.0331261993315,-137970562.3412037
New Zealand,33506000.0,2023,Australia and Oceania,5788.436749244134,-138058562.3412037
Bulgaria,33465000.0,2023,Europe,5784.894121762299,-138099562.3412037
Switzerland,33306000.0,2023,Europe,5771.135070330619,-138258562.3412037
Slovakia,30087000.0,2023,Europe,5485.161802536002,-141477562.3412037
Denmark,29915000.0,2023,Europe,5469.460668109791,-141649562.3412037
Dominican Republic,29713000.0,2023,Central America and the Caribbean,5450.963217634109,-141851562.3412037
Burma,27005000.0,2023,East and Southeast Asia,5196.633525658703,-144559562.3412037
Tunisia,24645000.0,2023,Africa,4964.373072201564,-146919562.3412037
Bosnia and Herzegovina,24513000.0,2023,Europe,4951.060492460176,-147051562.3412037
Panama,23458000.0,2023,Central America and the Caribbean,4843.345950889736,-148106562.3412037
Laos,23412000.0,2023,East and Southeast Asia,4838.594837346893,-148152562.3412037
Jordan,22434000.0,2023,Middle East,4736.454370095842,-149130562.3412037
Bolivia,21552000.0,2023,South America,4642.41316558533,-150012562.3412037
Ghana,20822000.0,2023,Africa,4563.112972522157,-150742562.3412037
Syria,20243000.0,2023,Middle East,4499.222154995239,-151321562.3412037
Cuba,19716000.0,2023,Central America and the Caribbean,4440.270262044868,-151848562.3412037
Angola,19660000.0,2023,Africa,4433.959855479073,-151904562.3412037
Mongolia,19203000.0,2023,East and Southeast Asia,4382.122773268681,-152361562.3412037
Sri Lanka,19153000.0,2023,South Asia,4376.4140571934,-152411562.3412037
Kenya,19023000.0,2023,Africa,4361.536426535952,-152541562.3412037
Puerto Rico,18833000.0,2023,Central America and the Caribbean,4339.700450491946,-152731562.3412037
Cambodia,18779000.0,2023,East and Southeast Asia,4333.474356679638,-152785562.3412037
Guatemala,18546000.0,2023,Central America and the Caribbean,4306.5067049756235,-153018562.3412037
Ethiopia,18519000.0,2023,Africa,4303.370771848506,-153045562.3412037
Sudan,18242000.0,2023,Africa,4271.065440847284,-153322562.3412037
Tanzania,17707000.0,2023,Africa,4207.968631061786,-153857562.3412037
